Iteration,BestDistance
0,3997.556602101791
1,3571.7358555054193
2,3415.904089560725
3,3346.952620338412
4,3346.952620338412
5,3346.952620338412
6,3346.952620338412
7,3346.952620338412
8,3346.952620338412
9,3346.952620338412
10,3346.952620338412
11,3346.952620338412
12,3346.952620338412
13,3346.952620338412
14,3346.952620338412
15,3346.952620338412
16,3346.952620338412
17,3346.952620338412
18,3346.952620338412
19,3346.952620338412
20,3346.952620338412
21,3346.952620338412
22,3346.952620338412
23,3346.952620338412
24,3346.952620338412
25,3346.952620338412
26,3346.952620338412
27,3346.952620338412
28,3346.952620338412
29,3346.952620338412
30,3346.952620338412
31,3346.952620338412
32,3346.952620338412
33,3346.952620338412
