Generation,BestDistance
0,5999.981906408575
1,5999.981906408575
2,5999.981906408575
3,5903.693403781544
4,5903.693403781544
5,5903.693403781544
6,5903.693403781544
7,5903.693403781544
8,5903.693403781544
9,5903.693403781544
10,5903.693403781544
11,5903.693403781544
12,5903.693403781544
13,5903.693403781544
14,5903.693403781544
15,5903.693403781544
16,5611.357793115435
17,5611.357793115435
18,5336.120367637528
19,5336.120367637528
20,5336.120367637528
21,5336.120367637528
22,5336.120367637528
23,5336.120367637528
24,5336.120367637528
25,5336.120367637528
26,5336.120367637528
27,5336.120367637528
28,5336.120367637528
29,5336.120367637528
30,5336.120367637528
31,5336.120367637528
32,5336.120367637528
33,5336.120367637528
34,5336.120367637528
35,5336.120367637528
36,5336.120367637528
37,5336.120367637528
38,5336.120367637528
39,5336.120367637528
40,5336.120367637528
41,5336.120367637528
42,5336.120367637528
43,5336.120367637528
44,5336.120367637528
45,5336.120367637528
46,5336.120367637528
47,5336.120367637528
48,5336.120367637528
49,5336.120367637528
50,5336.120367637528
51,5336.120367637528
52,5336.120367637528
53,5336.120367637528
54,5336.120367637528
55,5336.120367637528
56,5336.120367637528
57,5336.120367637528
58,5336.120367637528
59,5336.120367637528
60,5336.120367637528
61,5336.120367637528
62,5336.120367637528
63,5336.120367637528
64,5336.120367637528
65,5336.120367637528
66,5336.120367637528
67,5336.120367637528
68,5336.120367637528
